IDX_TagID,IDX_TagGUID,IDX_TagGroupID,IDX_TagName,IDX_Description,IDX_ChangeType,IDX_ChangeTimestamp,IDX_SourceUniqueTagID,IDX_TargetUniqueTagID,IDX_Maximum,IDX_Minimum,IDX_TimeDeadband,IDX_ValueDeadband,IDX_ValueAliasTemplate,IDX_AutoStepTimeout,IDX_Unit,IDX_EngUnits,IDX_TypeName,IDX_DataTypeID,IDX_InitialValue,IDX_InitialQuality,IDX_Stepped,IDX_HistoryMode,IDX_Compression,IDX_ValueExpiry,IDX_TagType,IDX_DataSize,IDX_RemoteWriteInterval,IDX_RemoteReadInterval,IDX_SourceType,etl_deleted
40561,e002a904-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-6_COARSE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40580,e002a911-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-5.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40628,e002a94d-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-3_MEDIUM-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42204,f1a3bee3-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-8_FINE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
40601,e002a968-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-8_FINE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40633,e002a948-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-2_COARSE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5764,5d4337c5-3114-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-6_COARSE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5747,f2392031-3064-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-4_FINE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5768,5d3841d5-3114-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-6_FINE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5751,0c0239dd-310b-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-5_COARSE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40579,e002a912-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-6.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42187,f1a3c0da-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-4_MEDIUM.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
42185,f1a3c134-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-3.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
40613,e002a95c-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-6_FINE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40553,e002a90c-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-8_FINE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42193,f1a3c03f-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-5.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
5752,0bfe504a-310b-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-5_COARSE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5782,b7ca442b-3137-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-7_FINE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40640,e002a941-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-1_MEDIUM-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40583,e002a90e-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-2.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42175,f7a17013-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-1_MEDIUM.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
42189,f1a3c0b9-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-4.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
40562,e002a903-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-5_FINE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5734,da2a182b-3059-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-3_FINE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5788,7740403d-3139-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-8_COARSE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5720,5c645e28-3059-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-2_MEDIUM-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
42194,f1a3c005-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-6_COARSE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
40567,e002a8fe-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-4_COARSE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5762,4267c443-ae1e-11e9-82e0-00155d1d4e0a,1,MATRIX_JIG-MOD-5.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
46229,8946c8d9-f9bb-11eb-b836-005056a01807,1,GSI-IDX_COMMON.OPC-CLIENT-STATS.DURATION-AVERAGE-ECHO,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40582,e002a90f-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-3.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5699,2ee2b316-ae1e-11e9-82e0-00155d1d4e0a,1,MATRIX_JIG-MOD-1.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40598,e002a96b-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-8_MEDIUM-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40604,e002a965-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-7_MEDIUM-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40577,e002a914-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-8.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
